DED4E8,E8BA40,C7395F,
80C4B7,EDCBD2,E3856B,
E87A5D,F3B941,3B5BA5,
D49BAE,BBCB50,678CEC,
4AAFD5,91B187,E7A339,
E3CCB2,F9EC7E,E26274,
FBEAE7,B2456E,552619,
EDF4F2,31473A,7C8363,
CADCFC,00246B,8AB6F9,
E6C17A,404041,F6EDE3,
E1E5EB,E59462,D5CAE4,
81CAD6,EDCD44,DC3E26,
1803A5,F2EC9B,96FFBD,
D9DAD9,68A4A5,4C8055,
6F9BD1,DF3C5F,224193,
E17888,AE3B8B,1C5789,341514
D0944D,3988A4,CB625F,67C2D4
71B379,B25690,EDC400,1D71BA
D4B8B1,866C69,CD8C8C,53331F
72C2C9,9FA65A,2963A2,4CAABC
D8D0CD,DF5587,B46543,B46543
E58D2E,4D181C,144058,DD671E
9EE8E1,D2385A,DE9DC2,573C33
D1B5A3,E36858,D1B5A3,0C0D0D
CEE6F2,E9B796,E3867D,962E2A
EEC95C,EECCD3,E3856B,80C4B7
57BBBC,B6818B,B8912E,802621
B6E696,CD7E2A,6C3622,6FA1BB
B6E696,A95EA3,DC3A79,1686CD
A4998E,507B6A,6A513C,4B1816
DDDBDE,CAD4DF,656E77,3B373B
6FC7E1,EABDCF,EFD557,CE6EA3
BD5598,82BB42,BFCF6E,DF3C5F
E88659,D8BF58,D1BAA2,56C1E1
3B5BA5,E87A5C,469E48,DE418E
FAEF7C,E3CCB2,E26274,78589F
355952,EAB63E,FAF6E7,E37769
6061A8,CE8F30,F4F7F7,ED3224
3A6D80,F3CD53,D56729,9D402D
735DA5,D3C5E5,8EC9BC,FBF5AA
22235F,7A4D9F,EB68A0,A8DACD
223E8B,2249AE,7EE05F,FEFAAE
F4B0F7,9CFAD4,EDF9A2,F8B0B3
78FFC4,DCAAE4,FDC2E4,FAF3DE
E8338B,C13979,5C2C90,2A2E74
020202,5351A2,A254A1,F6C845
EC6D67,F2AE7F,FBF5AE,CEE4B3
EFC6D4,D950AE,AAE847,EEEDEE
59C4EB,5ADFDF,77EFBD,ECF8BA
D72631,A2D5C6,077B8A ,5C3C92
E2D810,D9138A,12A4D9 ,322E2F
CF1578,E8D21D,039FBE ,B20238
E75874,BE1558,FBCBC9 ,322514
EF9D10F,3B4D61,6B7B8C,
1E3D59,F5F0E1,FF6E40,FFC13B
1E847F,ECC19C,000000,
26495C,C4A35A,C66B3D,E5E5DC
D9A5B3,1868AE,C6D7EB,
408EC6,7A2048,1E2761,
8A307F,79A7D3,6883BC,
1D3C45,D2601A,FFF1E1,
AED6DC,FF9A8D,4A536B,
DA68A0,77C593,ED3572,
316879,F47A60,7FE7DC,CED7D8
D902EE,FFD79D,F162FF,320D3E
FFCCE7,DAF2DC,81B7D2,4D5198
DDC3A5,201E20,E0A96D,
EDCA82,097770,E0CDBE,A9C0A6
D71B3B,E8D71E,16ACEA,4203C9
FF1D58,F75990,FFF685,0049B7
BEEF00,FF0028,657A00,1400C6
E1B382,C89666,2D545E,12343B
E0FBFC,EE6C4D,3D5A80,293241
D90429,2B2D42,8D99AE,EDF2F4
FB8500,FFB703,023047,219EBC
EF476F,FFD166,06D6A0,073B4C
003049,D62828,F77F00,FCBF49
000000,FCA311,E5E5E5,FFFFFF
FFFFFF,00171F,003459,00A8E8
FFD500,FDC500,00509D,00296B
033F63,28666E,B5B682,FEDC97
353535,3C6E71,D9D9D9,284B63
FF595E,FFCA3A,8AC926,1982C4
3C3744,090C9B,3066BE,B4C5E4
FFFAFF,0A2463,3E92CC,D8315B
000000,FFFFFF,808080,
FFFFFF,000000,808080,
b12c21,275791,4ea32a,f9df00
f9df00,008934,b12c21,
b12c21,275791,e49600,
